user,uniqueidentifier1,uniqueidentifier2,uniqueidentifier3,Fraud
User_1,4ccc2dc9-5425-4825-9141-4c27b3d5fadf,V9481,156537,0
User_2,1c4f19ad-e7bf-4942-9e6f-cd35f0f17e50,N2400,118492,1
User_3,d1f0223c-38d0-4c4a-8aa8-ff604b694cb9,P1073,133863,0
User_4,fcb8c3fa-9874-4cbf-b00c-cd7c4f935dc4,Y8631,132353,0
User_5,fdbe86d5-0ff7-4b70-a324-6dba7d189724,I9614,148025,1
User_6,96d47704-6574-4d79-9e78-035b25749c2b,Z6112,166791,0
User_7,4f05c59a-7bca-4012-ab1e-94d4992209ec,G1634,190924,0
User_8,41897afd-bf39-4172-8194-d33268b2e3c6,P5751,119092,0
User_9,5de07719-1b39-45f8-a8f6-4e18d946ae82,Y4387,165102,0
User_10,7f8bca30-035c-4716-ad36-b6b37e1fe05f,W5243,166673,0
User_11,cf15164b-8502-46d5-8a07-d39d43ff340b,Q6920,166087,0
User_12,1f3d0677-bf34-42ae-b10b-5009f301f977,T4230,154419,0
User_13,29621832-00a4-49c0-a675-815432b12b48,Y2130,159814,0
User_14,18d018bc-942f-4244-a4da-4443a10b0ef6,Y7868,173252,0
User_15,77563196-3bff-4a2c-b358-910d2e61ddb7,U2484,197582,0
User_16,40f47cad-5b45-4789-833f-28d1cb298c76,C2859,147986,1
User_17,0b9ad1c2-32fc-4622-bf37-546d6306f706,T8325,110375,0
User_18,093bda0e-940c-4acb-b07e-48fcc28338ab,P4226,108588,0
User_19,7d17a994-3205-45ce-8005-0814594795af,C1654,194946,0
User_20,3ff2ed74-5271-4c0c-8c22-ea5ae6999d1b,B4308,132661,0
User_21,cc71f6d2-4b93-40fc-bd65-ad0643b404bd,P4420,188185,0
User_22,24c0c925-90d0-4b88-9b8e-dd8d5141f6e7,U1359,158267,0
User_23,7d17a994-3205-45ce-8005-0814594795af,I6214,162375,1
User_24,fdff1ce6-4d9d-4f76-8dc4-db8d2997927f,B2535,197400,0
User_25,f2619b72-f85e-4085-b9d6-5c0ff5b30896,Q3487,120047,0
User_26,730b44fb-1222-4cff-84a8-3bd5ef966058,I6694,109038,0
User_27,cb3b575b-0220-49fd-8384-b43704109785,M2679,117933,0
User_28,052a13bf-2fb6-4e9c-a8af-de0c4842cc40,T9920,188948,0
User_29,124e29dd-1be7-4d08-9aa3-0ec154b4a6aa,T2660,135148,0
User_30,25c5544b-bc73-41ed-b839-113cc0842c69,V5067,148583,0
User_31,5eb528fe-965e-4def-ba00-aa1d49bbfff5,D9072,157468,0
User_32,b04db643-f201-4f68-869e-bc7f64add971,J1031,112314,0
User_33,fe15cd8a-0a19-4584-828c-e1e116891de5,B6094,102591,0
User_34,46683a1b-9850-476f-b498-5962580c75e5,H7365,113586,0
User_35,48f9826a-c7f6-42c6-9493-acf1b455f650,N2956,133838,0
User_36,4718eca3-9cd4-46f7-8dcf-021ec9e25bfc,C1936,103857,0
User_37,23503d14-3a4e-4c32-a5ea-c967903ccbcc,O6101,187939,0
User_38,8db9462d-7872-4fbf-97ce-06b57400c60b,F7883,112037,0
User_39,0887ae13-c152-4366-b595-87fc1384e87e,L2221,101052,0
User_40,1ab55510-9471-48cf-9c17-5020b35d6d72,Z5618,139999,1
User_41,d638ae4f-3838-4d1d-9d71-1220e3609c19,Y9906,114418,0
User_42,7c8b0d76-7a2b-46f3-aa80-23ecbe9963f3,R2316,120047,0
User_43,481771cb-f3c9-46f5-8cb3-d05841b00fc4,X1831,144710,0
User_44,6f6c1ce0-a92e-4fc2-8ffb-09596467e56d,H9936,111304,1
User_45,0c269cd1-be6f-4d6a-8844-4a2cf897112e,L2777,128840,0
User_46,fbf443b3-7896-4840-9fa6-ac02d5544e89,I1042,170103,0
User_47,4ccfe3e1-834f-46cd-a19c-3169fe080553,X2813,120999,0
User_48,a5280497-e996-42d8-90a9-4022cba24c83,H9462,180154,0
User_49,17c0e340-0a77-483c-990c-00e4e81e4fd2,G7502,167768,0
User_50,16572a0a-b1f7-46bc-8a4e-e547dcc67473,O4291,159128,0
User_51,feccc338-d504-4ca1-932d-e66d4879d527,U5887,157180,0
User_52,3e3831c1-1037-4c77-bcc3-326588a48e69,A1120,150847,0
User_53,679e7fdb-f3cd-4780-ac8f-89bd3fa483dc,G5411,170110,0
User_54,9d0040c7-6c47-404c-b646-777f3775440c,A5981,189402,1
User_55,93df12a1-dc87-4c50-9fdc-12035dd7b4dd,K8460,182753,0
User_56,94c8d2e0-c4a4-4546-8eda-7a427f341fcc,B4430,195394,0
User_57,d44207cf-6e7c-4bac-a877-80245fa0c961,T3035,145647,0
User_58,eb232648-48e4-4367-81dc-e17ae32aa669,F5724,133441,0
User_59,cf2330ae-0492-4b5c-afba-35749b9f0773,F8962,128039,0
User_60,0de3d5f3-522f-410b-938f-e2e59a40b9c1,C8239,182904,0
User_61,c17a387d-6112-4884-b6de-12f0b99ae6e7,Q8389,176839,0
User_62,13bfabf4-0b44-42af-b3f0-a92c9b467ffb,W1920,138550,0
User_63,aaa6ef03-0e5f-4764-84e7-2bda9a237105,C5350,110595,0
User_64,a28a9c26-ecdf-4a4b-840f-b90871ad7971,L5584,150293,0
User_65,ddb4477e-b1d0-4bfe-9539-32357b2a5291,Z5003,188428,0
User_66,c506a5fc-a1db-4182-bb51-935600928dff,R9904,191886,0
User_67,49f797a9-81a2-4669-8952-61e1ff6970a4,Q1435,112681,0
User_68,31f3b8a5-d11a-426e-a5b5-0ae51fbdfa4c,F6886,128507,1
User_69,66b26fde-7c26-4cb5-b712-fc4ce00e247e,C2204,133384,0
User_70,bdaf6289-c95c-4e44-b7c9-759489a851cf,R6295,183609,0
User_71,071d26b3-0924-41d4-bc1b-6e6c825ec648,S4958,191242,0
User_72,a76fef4e-05f7-4260-9097-3cfd859d5e91,P2344,149449,0
User_73,38fbdc5f-e267-4e3b-b771-294017d135a8,U7503,116279,1
User_74,9e3ffd8c-f489-424f-a7a7-55472fdfec94,E3281,155223,0
User_75,bd019517-d26b-4f15-b5d6-b18e7c1b07c7,U9773,186203,0
User_76,eb09c820-00ba-47dc-9466-7e0c5fbb58fd,W9062,173259,0
User_77,078282ad-ca34-4889-ab4a-d4eeacb164b4,U1940,195737,0
User_78,c0ae641b-273b-45dc-9ec3-d34670c939ff,E3557,192348,0
User_79,781477b7-b5b8-4bd2-941e-80d698cd78d5,W7376,131500,0
User_80,7d17a994-3205-45ce-8005-0814594795af,A1552,174690,0
User_81,77a14441-e454-4c71-8191-c451d70b4310,C6568,195364,0
User_82,c65c74a3-e8e8-440e-9fed-ef66b6584277,J4497,194646,0
User_83,e860e890-7e54-49d9-87b4-21fe6c7c48bf,J7748,184100,0
User_84,4dd5b6ad-cf5c-4085-922e-9025d09249fb,O5378,120047,0
User_85,fbf443b3-7896-4840-9fa6-ac02d5544e89,T7041,110331,0
User_86,840bdcb8-02dc-4c72-91d2-1aaf28ee926b,P3813,148262,0
User_87,b271d06c-5564-46c8-a660-41092a29a737,O7499,112962,0
User_88,8374813f-6a90-4c59-8a9e-4a28ab6c4114,N8176,178192,0
User_89,42e7cbc9-d40a-4ec3-878e-0ad083d16c8e,L4141,187370,0
User_90,5046c2ff-9866-4ce5-b281-0335946b4e4f,V6123,118764,0
User_91,4c2293eb-da38-4c98-9c21-3570ea4c7245,B5142,139865,0
User_92,dd006537-55dd-453a-995e-055a811bf857,A4904,147552,0
User_93,fe7313b0-7ad2-498a-abad-8bd49495aa51,E4557,140390,0
User_94,7d17a994-3205-45ce-8005-0814594795af,Z9554,184544,0
User_95,7d999d8e-93e3-4ad8-8249-5ccba3fd9ac5,P4420,111694,0
User_96,d4f2407b-e654-4016-9fcc-9d4559f5f437,E8084,132661,0
User_97,d0b93fc6-9ffd-4750-84be-6bf66f313df1,S3344,126227,1
User_98,4f05c59a-7bca-4012-ab1e-94d4992209ec,E8084,161866,0
User_99,3650a2a2-fc47-401a-8045-bd0e3b4e00dc,R8718,114451,0
User_100,7762e838-5025-4611-a221-46e5bb06e5b9,K8564,176704,1
User_101,7423cc7c-a715-454b-9898-9f6d5d85ebd9,J2886,173448,0
User_102,5bc1fb61-e3f8-458f-91ab-56ed06ceb7dc,E1839,193422,0
User_103,9af4a300-63ba-4252-b07f-8d821069a3c5,L6501,160986,0
User_104,7fc502db-2c3f-4f09-a11c-3116cf82a6ee,K2611,163118,0
User_105,2b895853-bb5d-45f0-a3e4-d66871d898ee,K6865,168412,0
User_106,4ac306fa-feaf-49bb-9bb8-5360850c41e0,H5938,119318,0
User_107,eaa929ac-3b7c-43ca-8ea6-3313dc010704,A5700,187240,0
User_108,300e8189-fafe-4474-97df-74d2c9ffc059,I5319,116776,0
User_109,b81ffcf4-058b-48f5-ba3e-602e641c9248,S8245,164436,0
User_110,45871de7-0db2-4d7e-b3ac-8a0a76135f21,E4167,119204,1
User_111,a0bf7415-6797-4bd4-97a0-14848438d710,I9268,103799,0
User_112,f3dd0e4f-517e-486d-8472-de3c07e5afac,O2002,136010,0
User_113,1d9f242b-02ad-4b56-9b46-8b93dd2e0da5,R2622,198991,0
User_114,0039a3cd-e7dc-454e-9aee-f48afb7f9637,X7199,190006,0
User_115,b995eb0c-c945-4bde-aa96-0e37dbc1de4f,S2160,180350,0
User_116,91753afd-c8f8-4498-8a5f-5fa7875e21ac,Q9935,167531,0
User_117,5c345895-0bd9-4968-9f2b-d8a4bfd986f9,G9007,144949,1
User_118,7f8bca30-035c-4716-ad36-b6b37e1fe05f,R2622,158277,0
User_119,2d7b65b6-1ec0-4f53-8739-5a824b1bf40d,A7280,149120,0
